# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr 29 13:02:40 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_radj_reflink not like '%calculated value%'
# CONSTRAINT:  and pl_bmasse_reflink not like '%calculated value%'
# CONSTRAINT:  and pl_bmassprov not like '%calculated value%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radj_reflink: Planet Radius Reference
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasse_reflink: Planet Mass or Mass*sin(i) [Earth Mass] Reference
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_radj_reflink,pl_bmasse,pl_bmasse_reflink,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,,330.000000,18.647,1.664,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,3000.00000,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,8.00000,Mass,,,1700,0,K7 V,4060.00,1.31,0.85,,,4.00,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,12.6180000,8.9160000,12.0572000
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,0,,52.000000,11.209,1.000,<a refstr=HINKLEY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...805L..10H/abstract target=ref>Hinkley et al. 2015</a>,7786.50000,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,24.50000,Mass,,,1600,0,M3.5 V,3530.00,0.37,0.40,,,4.86,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000,14.2440000,9.1980000,12.9025000
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,,156.000000,16.141,1.440,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,4417.83700,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,13.90000,Mass,,,,0,M6,3064.00,0.28,0.11,,,4.59,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412,,10.4040000,15.0123000
31,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.73654740,0.015440,1.875,0.167,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,7.99000,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.02514,Mass,0.050000,2657.83,1958,0,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
47,AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46299910,0.064500,4.070,0.363,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,20.12000,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,0.06330,Mass,0.186000,76.64,593,1,M1,3588.00,0.70,0.50,,,4.39,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000,4.5290000,7.8403800
48,AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.85899100,0.110100,3.240,0.289,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,9.60000,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,0.03020,Mass,0.041000,,454,0,M1,3700.00,0.75,0.50,,,4.39,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000,4.5290000,7.8403800
56,BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,41.68550000,0.241000,2.578,0.230,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,22.24810,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.07000,Mass,0.000000,,546,0,G,5766.00,1.08,1.67,-0.150,[Fe/H],4.50,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,10.8490000,9.3680000,10.8644000
62,BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0,,1662.000000,14.684,1.310,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,4767.42610,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,15.00000,Mass,,,1303,0,K0,4993.00,0.80,1.00,,,4.55,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543000,9.3740000,7.2880000,9.1743900
76,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,Hubble Space Telescope,0,8040000.00000000,200.000000,20.849,1.860,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,2479.06157,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,7.80000,Mass,,,1800,0,M9-L1,2320.00,0.24,0.01,,,3.85,16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500,,,14.5930000,
79,COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),0,402000000.00000000,7506.000000,12.442,1.110,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,2002.31896,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,6.30000,Mass,,,434,0,M3 V,3406.00,0.39,0.37,0.000,[Fe/H],4.83,07h49m12.22s,117.3009140,-76d42m09.71s,-76.7026960,10.8864000,11.2980000,6.5790000,10.1460000
